sentence,sentiment
"The duck is crying because he lost his mummy",sad
"My biscuit's broken",sad
"I like that cat though",happy
"When I'm bigger bigger I can go on the big slide",happy
"I wet the bed",sad
"I don't like to have a bath now",sad
"I did it all by my own self",happy
"I don't like dinner",sad
"George is my best friend",happy
"I want to do sticking and glueing!",happy
"I don't want to go to nursery",sad
"Let's play catch!",happy
"I'm not very well",sad
"Tummy hurts",sad
"Cuddle!",happy
"I love ice cream",happy
"Mmmm dinner is yummy",happy
"I hate cabbage, yuck",sad
"This is good",happy
"That is bad",sad
"Let's do something nice",happy
"I'm feeling sad",sad
"I'm feeling happy",happy
"That's ok",happy
"That's not ok",sad
"I like bananas",happy
"I don't like spiders",sad
"Yay, we are going to the park!",happy
"I like ducks",happy
"I like chocolate",happy